Ano,Nome da IES,Sigla da IES,Categ. Administrativa,UF da IES,IGC (Contínuo),IGC (faixa)
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SERTÃO PERNAMBUCANO",IF Sertão,Pessoa Jurídica de Direito Público - Federal,PE,2.3544,3
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DE SANTA CATARINA",IFSC,Pessoa Jurídica de Direito Público - Federal,SC,2.7175,3
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO DE JANEIRO",IFRJ,Pessoa Jurídica de Direito Público - Federal,RJ,2.9742,4
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO",IFMT,Pessoa Jurídica de Direito Público - Federal,MT,2.5218,3
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DO TRIÂNGULO MINEIRO",IFTM,Pessoa Jurídica de Direito Público - Federal,MG,3.2489,4
2015,UNIVERSIDADE DO ESTADO DO AMAZONAS,UEA,Pessoa Jurídica de Direito Público - Estadual,AM,2.5716,3
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE",IFS,Pessoa Jurídica de Direito Público - Federal,SE,3.0275,4
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA",IFRR,Pessoa Jurídica de Direito Público - Federal,RR,2.2116,3
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS",IFNMG,Pessoa Jurídica de Direito Público - Federal,MG,2.5525,3
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MINAS GERAIS",IFMG,Pessoa Jurídica de Direito Público - Federal,MG,2.7562,3
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUDESTE DE MINAS GERAIS",IFSEMG,Pessoa Jurídica de Direito Público - Federal,MG,2.9738,4
2015,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,UERGS,Pessoa Jurídica de Direito Público - Estadual,RS,3.2417,4
2015,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,UFT,Pessoa Jurídica de Direito Público - Federal,TO,2.8078,3
2015,UNIVERSIDADE DE RIO VERDE,FESURV,Pessoa Jurídica de Direito Público - Municipal,GO,2.4381,3
2015,FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,Pessoa Jurídica de Direito Público - Federal,PE,3.276,4
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA",IFFarroupilha,Pessoa Jurídica de Direito Público - Federal,RS,3.1071,4
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS",IF SUL DE MINAS,Pessoa Jurídica de Direito Público - Federal,MG,2.9057,3
2015,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UFRB,Pessoa Jurídica de Direito Público - Federal,BA,3.0214,4
2015,FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,UFGD,Pessoa Jurídica de Direito Público - Federal,MS,3.2671,4
2015,INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA,IFRO,Pessoa Jurídica de Direito Público - Federal,RO,2.6456,3
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS",IFTO,Pessoa Jurídica de Direito Público - Federal,TO,2.5022,3
2015,FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC,UFABC,Pessoa Jurídica de Direito Público - Federal,SP,4.108,5
2015,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE",IF Catarinense,Pessoa Jurídica de Direito Público - Federal,SC,2.8627,3
2015,UNIVERSIDADE ESTADUAL DE RORAIMA,UERR,Pessoa Jurídica de Direito Público - Estadual,RR,2.0828,3
2015,UNIVERSIDADE ESTADUAL DE ALAGOAS - UNEAL,UNEAL,Pessoa Jurídica de Direito Público - Estadual,AL,2.0697,3
