"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"02/2019";"26000 - Ministério da Educação";"26350 - Fundação Universidade Federal da Grande Dourados";"12.475.529,62";"19.732.074,70";"18.984.876,34";"6.549.116,78";
"03/2019";"26000 - Ministério da Educação";"26350 - Fundação Universidade Federal da Grande Dourados";"1.537.778,84";"20.730.731,29";"20.385.254,85";"6.344.665,01";
"08/2019";"26000 - Ministério da Educação";"26350 - Fundação Universidade Federal da Grande Dourados";"8.855.513,72";"23.628.664,57";"17.567.398,84";"5.255.553,30";
"05/2019";"26000 - Ministério da Educação";"26350 - Fundação Universidade Federal da Grande Dourados";"4.713.242,00";"22.830.382,39";"20.818.418,63";"8.380.946,10";
"06/2019";"26000 - Ministério da Educação";"26350 - Fundação Universidade Federal da Grande Dourados";"3.760.240,68";"28.986.946,71";"23.550.900,72";"3.779.017,67";
"04/2019";"26000 - Ministério da Educação";"26350 - Fundação Universidade Federal da Grande Dourados";"17.716.210,23";"21.066.279,78";"20.643.696,04";"8.897.073,20";
"05/2019";"26000 - Ministério da Educação";"26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre";"4.552.111,58";"11.175.183,19";"11.555.874,41";"2.013.555,37";
"01/2019";"26000 - Ministério da Educação";"26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre";"109.553.271,63";"10.922.544,75";"3.160.281,78";"10.485.015,32";
"02/2019";"26000 - Ministério da Educação";"26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre";"4.012.324,18";"10.791.442,96";"10.998.162,71";"2.537.686,61";
"07/2019";"26000 - Ministério da Educação";"26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre";"3.509.623,64";"11.530.839,93";"14.353.655,50";"1.555.744,48";
"08/2019";"26000 - Ministério da Educação";"26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre";"2.760.109,33";"11.527.658,29";"8.381.165,99";"2.461.620,83";
"04/2019";"26000 - Ministério da Educação";"26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre";"3.691.508,81";"11.307.626,66";"11.190.052,88";"1.528.009,09";
"03/2019";"26000 - Ministério da Educação";"26284 - Fundação Universidade Federal de Ciências da Saúde de Porto Alegre";"2.500.218,13";"10.965.792,67";"10.352.310,40";"2.811.223,37";
